Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotConfig,Neighborhood,YearBuilt,RoofStyle,RoofMatl,MasVnrArea,Foundation,BsmtExposure,HeatingQC,CentralAir,GrLivArea,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageCars,SaleType,SalePrice,Has_Alley,Artery,Feedr,RRNn,RRAn,PosN,PosA,RRNe,RRAe,1Fam_BldgType,Overall_Total,BrkCmnArea,BrkFaceArea,StoneArea,Exter_Total,Bsmt_Total,Has_BsmtFin,BsmtFinSF_Total,SF_QualFinished,SF_Total,Bath,Garage_Total,Has_WoodDeck,Has_OpenPorch,Has_EnclosedPorch,Has_3SsnPorch,Has_ScreenPorch,Has_PorchOrDeck,Has_Pool,Has_Fence,Has_Shed,Post_Collapse
33,20,RL,85,11049,Pave,Corner,CollgCr,2007,Gable,CompShg,0,PConc,Av,Ex,Y,1234,1,Gd,Typ,0,2,WD,179900,0,0,0,0,0,0,0,0,0,1,13,0,0,0,12,14,0,0,1234,2468,2,10,0,1,0,0,0,1,0,0,0,0
34,20,RL,70,10552,Pave,Inside,NAmes,1959,Hip,CompShg,0,CBlock,No,Gd,Y,1700,1,Gd,Typ,1,2,WD,165500,0,0,0,0,0,0,0,0,0,1,10,0,0,0,10,10,1,1018,2718,3098,2,10,0,1,0,0,0,1,0,0,0,1
35,120,RL,60,7313,Pave,Inside,NridgHt,2005,Hip,CompShg,246,PConc,No,Ex,Y,1561,1,Ex,Typ,1,2,WD,277500,0,0,0,0,0,0,0,0,0,0,14,0,246,0,14,14,1,1153,2714,3122,3,10,1,1,0,0,0,1,0,0,0,0
36,60,RL,108,13418,Pave,Inside,NridgHt,2004,Gable,CompShg,132,PConc,Av,Ex,Y,2452,1,Gd,Typ,1,3,WD,309000,0,0,0,0,0,0,0,0,0,1,13,0,0,132,12,14,0,0,2452,3569,3.5,10,1,1,0,0,0,1,0,0,0,0
37,20,RL,112,10859,Pave,Corner,CollgCr,1994,Gable,CompShg,0,PConc,No,Ex,Y,1097,1,TA,Typ,0,2,WD,145000,0,0,0,0,0,0,0,0,0,1,10,0,0,0,10,12,0,0,1097,2194,1.5,10,1,1,0,0,0,1,0,0,0,1
38,20,RL,74,8532,Pave,Inside,NAmes,1954,Hip,CompShg,650,CBlock,No,Gd,Y,1297,1,TA,Typ,1,2,WD,153000,0,0,0,0,0,0,0,0,0,1,11,0,650,0,10,10,1,1213,2510,2594,1.5,10,0,0,0,0,0,0,0,0,0,1
39,20,RL,68,7922,Pave,Inside,NAmes,1953,Gable,CompShg,0,CBlock,No,TA,Y,1057,1,Gd,Typ,0,1,WD,109000,0,0,0,0,0,0,0,0,0,1,12,0,0,0,12,10,1,731,1788,2114,2,10,0,1,0,0,0,1,0,0,0,1
40,90,RL,65,6040,Pave,Inside,Edwards,1955,Gable,CompShg,0,PConc,NA,TA,N,1152,2,Fa,Typ,0,0,WD,82000,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,1152,1152,2,0,0,0,0,0,0,0,0,0,0,0
41,20,RL,84,8658,Pave,Inside,NAmes,1965,Gable,CompShg,101,CBlock,No,Ex,Y,1324,1,TA,Typ,1,2,WD,160000,0,0,0,0,0,0,0,0,0,1,11,0,101,0,10,10,1,643,1967,2412,2,10,0,1,0,0,0,1,0,1,0,0
42,20,RL,115,16905,Pave,Inside,Timber,1959,Gable,CompShg,0,CBlock,Gd,Gd,Y,1328,1,TA,Typ,2,1,WD,170000,0,0,0,0,0,0,0,0,0,1,11,0,0,0,12,10,1,967,2295,2678,2,10,0,1,0,0,0,1,0,0,0,0
43,85,RL,NA,9180,Pave,CulDSac,SawyerW,1983,Gable,CompShg,0,CBlock,Av,Gd,Y,884,1,Gd,Typ,0,2,WD,144000,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,12,1,840,1724,1724,2,12,1,0,0,0,0,1,0,1,0,0
44,20,RL,NA,9200,Pave,CulDSac,CollgCr,1975,Hip,CompShg,0,CBlock,Av,TA,Y,938,1,TA,Typ,0,1,WD,130250,0,0,0,0,0,0,0,0,0,1,11,0,0,0,10,12,1,771,1709,1876,2,10,1,0,0,0,0,1,0,1,0,0
45,20,RL,70,7945,Pave,Inside,NAmes,1959,Gable,CompShg,0,CBlock,No,Ex,Y,1150,1,TA,Typ,0,1,WD,141000,0,0,0,0,0,0,0,0,0,1,11,0,0,0,10,10,1,685,1835,2300,2,10,0,0,0,0,0,0,0,0,0,0
46,120,RL,61,7658,Pave,Inside,NridgHt,2005,Hip,CompShg,412,PConc,No,Ex,Y,1752,1,Ex,Typ,1,2,WD,319900,0,0,0,0,0,0,0,0,0,0,14,0,412,0,14,14,1,456,2208,3504,3,10,1,1,0,0,0,1,0,0,0,1
47,50,RL,48,12822,Pave,CulDSac,Mitchel,2003,Gable,CompShg,0,PConc,No,Ex,Y,2149,1,Gd,Typ,1,2,WD,239686,0,0,0,0,0,0,0,0,0,1,12,0,0,0,12,14,1,1351,3500,3583,2.5,10,1,1,0,0,1,1,0,0,0,1
48,20,FV,84,11096,Pave,Inside,Somerst,2006,Gable,CompShg,0,PConc,Av,Ex,Y,1656,1,Gd,Typ,0,3,WD,249700,0,0,0,0,0,0,0,0,0,1,13,0,0,0,12,12,1,24,1680,3312,2,10,0,1,0,0,0,1,0,0,0,0
49,190,RM,33,4456,Pave,Inside,OldTown,1920,Gable,CompShg,0,BrkTil,No,Gd,Y,1452,3,TA,Typ,0,0,New,113000,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,10,0,0,1452,2188,2,0,0,0,1,0,0,1,0,0,0,1
50,20,RL,66,7742,Pave,Inside,Sawyer,1966,Gable,CompShg,0,CBlock,No,Ex,Y,955,1,TA,Typ,0,1,WD,127000,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,10,1,763,1718,1910,2,10,0,0,0,0,0,0,0,1,0,0
51,60,RL,NA,13869,Pave,Corner,Gilbert,1997,Gable,CompShg,0,PConc,Av,Gd,Y,1470,1,TA,Typ,0,2,WD,177000,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,12,1,182,1652,2264,2.5,10,0,1,0,0,0,1,0,0,0,0
52,50,RM,52,6240,Pave,Inside,BrkSide,1934,Gable,CompShg,0,PConc,No,TA,Y,1176,1,TA,Typ,1,2,WD,114500,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,10,0,0,816,1992,1,10,1,0,0,0,0,1,0,1,1,0
53,90,RM,110,8472,Grvl,Corner,IDOTRR,1963,Gable,CompShg,0,CBlock,Gd,TA,N,816,1,TA,Typ,0,2,WD,110000,0,0,0,1,0,0,0,0,0,0,10,0,0,0,8,12,1,816,1632,1632,2,10,1,0,0,0,0,1,0,0,0,1
54,20,RL,68,50271,Pave,Inside,Veenker,1981,Gable,WdShngl,0,CBlock,Gd,Gd,Y,1842,1,Gd,Typ,1,3,WD,385000,0,0,0,0,0,0,0,0,0,1,14,0,0,0,12,14,1,1810,3652,3684,2.5,10,1,1,0,0,0,1,0,0,0,0
55,80,RL,60,7134,Pave,Inside,NAmes,1955,Gable,CompShg,0,CBlock,No,TA,Y,1360,1,TA,Min1,1,2,WD,130000,0,0,0,0,0,0,0,0,0,1,10,0,0,0,10,10,1,384,1744,1744,1,10,0,1,0,0,0,1,0,1,0,0
56,20,RL,100,10175,Pave,Inside,NAmes,1964,Gable,CompShg,272,CBlock,No,Gd,Y,1425,1,TA,Typ,1,2,WD,180500,0,0,0,0,0,0,0,0,0,1,11,0,272,0,10,10,1,490,1915,2850,2,10,0,0,0,1,0,1,0,0,0,0
57,160,FV,24,2645,Pave,Inside,Somerst,1999,Gable,CompShg,456,PConc,No,Ex,Y,1739,1,Gd,Typ,0,2,WD,172500,1,0,0,0,0,0,0,0,0,0,13,0,456,0,12,12,1,649,2388,2709,3.5,10,1,0,0,0,0,1,0,0,0,1
58,60,RL,89,11645,Pave,Corner,CollgCr,2004,Gable,CompShg,0,PConc,No,Ex,Y,1720,1,Gd,Typ,0,2,WD,196500,0,0,0,0,0,0,0,0,0,1,12,0,0,0,12,12,0,0,1720,2580,2.5,10,0,1,0,0,0,1,0,0,0,0
59,60,RL,66,13682,Pave,CulDSac,StoneBr,2006,Hip,CompShg,1031,PConc,Gd,Ex,Y,2945,1,Gd,Typ,1,3,New,438780,0,0,0,0,0,0,0,0,0,1,15,0,1031,0,14,14,0,0,2945,4355,3.5,10,1,0,1,0,0,1,0,0,0,0
60,20,RL,60,7200,Pave,Inside,CollgCr,1972,Gable,CompShg,0,CBlock,Av,Ex,Y,780,1,TA,Typ,0,1,WD,124900,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,10,1,632,1412,1560,1,10,1,0,0,0,0,1,0,1,0,0
61,20,RL,63,13072,Pave,Inside,SawyerW,2004,Gable,CompShg,0,PConc,No,Ex,Y,1158,1,Gd,Typ,0,2,New,158000,0,0,0,0,0,0,0,0,1,1,11,0,0,0,10,12,1,941,2099,2316,2.5,10,0,1,0,0,0,1,0,0,0,0
62,75,RM,60,7200,Pave,Inside,IDOTRR,1920,Gable,CompShg,0,BrkTil,No,TA,N,1111,1,Fa,Typ,0,1,WD,101000,0,0,0,0,0,0,0,0,0,1,12,0,0,0,10,8,0,0,1111,1641,1,10,0,0,1,0,0,1,0,0,0,0
63,120,RL,44,6442,Pave,Inside,NridgHt,2006,Gable,CompShg,178,PConc,Mn,Ex,Y,1370,1,Gd,Typ,1,2,WD,202500,0,0,0,0,0,0,0,0,0,0,13,0,0,178,12,14,1,24,1394,2740,2,10,1,1,0,0,0,1,0,0,0,0
64,70,RM,50,10300,Pave,Inside,OldTown,1921,Gable,CompShg,0,BrkTil,No,Gd,Y,1710,1,TA,Typ,0,2,WD,140000,0,0,1,0,1,0,0,0,0,1,13,0,0,0,10,10,0,0,1710,2286,2,10,1,1,1,0,0,1,0,1,0,1
65,60,RL,NA,9375,Pave,Inside,CollgCr,1997,Gable,CompShg,573,PConc,No,Ex,Y,2034,1,Gd,Typ,0,2,WD,219500,0,0,0,0,0,0,0,0,0,1,12,0,573,0,10,12,1,739,2773,3091,3.5,10,1,1,0,0,0,1,0,1,0,1
66,60,RL,76,9591,Pave,Inside,NridgHt,2004,Gable,CompShg,344,PConc,Av,Ex,Y,2473,1,Gd,Typ,1,3,WD,317000,0,0,0,0,0,0,0,0,0,1,13,0,344,0,12,14,0,0,2473,3616,2.5,10,1,1,0,0,0,1,0,0,0,0
67,20,RL,NA,19900,Pave,Inside,NAmes,1970,Gable,CompShg,287,CBlock,Gd,TA,Y,2207,1,TA,Min1,1,2,WD,180000,0,0,0,0,0,0,1,0,0,1,12,0,287,0,10,12,1,912,3119,4154,3,10,1,0,0,0,0,1,0,0,0,1
68,20,RL,72,10665,Pave,Inside,CollgCr,2003,Gable,CompShg,167,PConc,Av,Ex,Y,1479,1,Gd,Typ,0,2,WD,226000,0,0,0,0,0,0,0,0,0,1,12,0,167,0,12,12,1,1013,2492,2932,3,10,1,1,0,0,0,1,0,0,0,0
69,30,RM,47,4608,Pave,Corner,OldTown,1945,Gable,CompShg,0,CBlock,No,TA,Y,747,1,TA,Typ,0,1,WD,80000,0,1,0,0,0,0,0,0,0,1,10,0,0,0,12,10,0,0,747,1494,1,10,0,0,0,0,0,0,0,0,0,1
70,50,RL,81,15593,Pave,Corner,ClearCr,1953,Gable,CompShg,0,CBlock,No,TA,Y,2287,1,TA,Typ,1,2,WD,225000,0,0,0,0,0,0,0,0,0,1,11,0,0,0,12,10,1,603,2890,3591,2,10,0,1,1,0,0,1,0,0,0,0
71,20,RL,95,13651,Pave,Inside,NAmes,1973,Gable,CompShg,1115,CBlock,Gd,Ex,Y,2223,1,TA,Typ,2,2,WD,244000,0,0,0,0,0,0,0,0,0,1,13,0,1115,0,12,12,1,1880,4103,4446,3,10,1,0,0,0,0,1,0,0,0,0
72,20,RL,69,7599,Pave,Corner,Mitchel,1982,Gable,CompShg,0,CBlock,No,TA,Y,845,1,TA,Typ,0,2,WD,129500,0,0,0,0,0,0,0,0,0,1,10,0,0,0,10,10,1,565,1410,1690,2,10,0,0,0,0,0,0,0,0,0,0
73,60,RL,74,10141,Pave,Corner,Gilbert,1998,Gable,CompShg,40,PConc,No,Gd,Y,1718,1,TA,Typ,1,2,WD,185000,0,0,0,0,0,0,0,0,0,1,12,0,40,0,10,12,0,0,1718,2550,2.5,10,0,1,0,0,1,1,0,0,0,1
74,20,RL,85,10200,Pave,Inside,NAmes,1954,Gable,CompShg,104,CBlock,No,Gd,Y,1086,1,TA,Typ,0,2,WD,144900,0,0,0,0,0,0,0,0,0,1,12,0,104,0,10,10,1,682,1768,2172,2,10,0,0,0,0,0,0,0,1,0,1
75,50,RM,60,5790,Pave,Corner,OldTown,1915,Gambrel,CompShg,0,CBlock,No,Gd,N,1605,2,TA,Typ,0,1,WD,107400,0,0,0,0,0,0,0,0,0,1,9,0,0,0,14,8,0,0,1605,2445,2,10,0,0,1,0,0,1,0,0,0,1
76,180,RM,21,1596,Pave,Inside,MeadowV,1973,Gable,CompShg,0,CBlock,Gd,TA,Y,988,1,TA,Typ,0,1,WD,91000,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,12,1,462,1450,1450,2,10,1,1,0,0,0,1,0,1,0,1
77,20,RL,NA,8475,Pave,Inside,NAmes,1956,Gable,CompShg,0,CBlock,No,Ex,Y,952,1,TA,Typ,0,1,WD,135750,0,0,0,0,0,0,0,0,0,1,11,0,0,0,10,10,1,228,1180,1904,1,10,0,0,0,0,0,0,0,0,0,0
78,50,RM,50,8635,Pave,Inside,BrkSide,1948,Gable,CompShg,0,CBlock,No,TA,Y,1285,1,TA,Min1,0,1,WD,127000,0,0,0,0,0,0,0,0,0,1,10,0,0,0,10,10,1,377,1662,1957,2,10,0,0,0,0,0,0,0,1,0,0
79,90,RL,72,10778,Pave,Inside,Sawyer,1968,Hip,CompShg,0,CBlock,No,TA,N,1768,2,TA,Typ,0,0,WD,136500,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,10,0,0,1768,3536,2,0,0,0,0,0,0,0,0,0,0,1
80,50,RM,60,10440,Pave,Corner,OldTown,1910,Gable,CompShg,0,PConc,No,Gd,Y,1230,1,TA,Typ,0,2,WD,110000,1,0,0,0,0,0,0,0,0,1,11,0,0,0,10,10,0,0,1230,1670,1.5,10,1,0,1,0,0,1,0,1,0,1
81,60,RL,100,13000,Pave,Corner,NAmes,1968,Gable,CompShg,576,CBlock,No,TA,Y,2142,1,Gd,Typ,1,1,WD,193500,0,0,0,0,0,0,0,0,0,1,12,0,576,0,12,12,1,448,2590,3038,2.5,10,0,1,0,0,1,1,0,0,0,1
82,120,RM,32,4500,Pave,FR2,Mitchel,1998,Hip,CompShg,443,PConc,No,Ex,Y,1337,1,TA,Typ,0,2,WD,153500,0,0,0,0,0,0,0,0,0,0,11,0,443,0,12,16,1,1201,2538,2574,3,10,0,1,0,0,0,1,0,0,0,0
83,20,RL,78,10206,Pave,Inside,Somerst,2007,Gable,CompShg,468,PConc,No,Ex,Y,1563,1,Gd,Typ,1,3,WD,245000,0,0,0,0,0,0,0,0,0,1,13,0,0,468,10,12,1,33,1596,3126,2,10,1,1,0,0,0,1,0,0,0,0
84,20,RL,80,8892,Pave,Inside,NAmes,1960,Gable,CompShg,66,CBlock,No,Gd,Y,1065,1,TA,Typ,0,2,COD,126500,0,0,0,0,0,0,0,0,0,1,10,66,0,0,10,10,0,0,1065,2130,1.5,10,1,0,0,0,0,1,0,0,0,0
85,80,RL,NA,8530,Pave,Inside,Gilbert,1995,Gable,CompShg,22,PConc,No,Gd,Y,1474,1,TA,Typ,1,2,WD,168500,0,0,0,0,0,0,0,0,0,1,12,0,22,0,10,12,0,0,1474,1858,2.5,10,1,1,0,0,0,1,0,0,1,1
86,60,RL,121,16059,Pave,Corner,NoRidge,1991,Hip,CompShg,284,CBlock,No,Ex,Y,2417,1,Gd,Typ,1,2,WD,260000,0,0,0,0,0,0,0,0,0,1,13,0,284,0,12,12,0,0,2417,3705,2.5,10,1,1,0,0,0,1,0,0,0,0
87,60,RL,122,11911,Pave,Inside,Gilbert,2005,Gable,CompShg,0,PConc,Av,Ex,Y,1560,1,Gd,Typ,1,2,WD,174000,0,0,0,0,0,0,0,0,0,1,11,0,0,0,12,12,0,0,1560,2244,2.5,10,1,1,0,0,0,1,0,0,0,1
88,160,FV,40,3951,Pave,Corner,Somerst,2009,Gable,CompShg,76,PConc,Av,Ex,Y,1224,1,Gd,Typ,0,2,New,164500,1,0,0,0,0,0,0,0,0,0,11,0,0,76,12,12,0,0,1224,1836,2.5,10,0,1,0,0,0,1,0,0,0,1
89,50,C (all),105,8470,Pave,Corner,IDOTRR,1915,Hip,CompShg,0,CBlock,No,TA,N,1526,1,Fa,Typ,0,0,ConLD,85000,0,0,1,0,0,0,0,0,0,1,5,0,0,0,6,8,0,0,1013,2539,1,0,0,0,1,0,0,1,0,1,0,1
90,20,RL,60,8070,Pave,Inside,CollgCr,1994,Gable,CompShg,0,PConc,No,Ex,Y,990,1,TA,Typ,0,0,WD,123600,0,0,0,0,0,0,0,0,0,1,9,0,0,0,10,12,1,588,1578,1980,2,0,0,0,0,0,0,0,0,0,0,0
91,20,RL,60,7200,Pave,Inside,NAmes,1950,Gable,CompShg,0,Slab,NA,TA,Y,1040,1,TA,Typ,0,2,WD,109900,0,0,0,0,0,0,0,0,0,1,9,0,0,0,10,0,0,0,1040,1040,1,10,0,1,0,0,0,1,0,0,0,0
92,20,RL,85,8500,Pave,Inside,NAmes,1961,Hip,CompShg,203,CBlock,No,TA,Y,1235,1,TA,Typ,0,2,WD,98600,0,0,0,0,0,0,0,0,0,1,8,203,0,0,10,10,1,600,1835,2470,1,10,0,0,0,0,0,0,0,1,0,0
